,PASS,SINGLE_BIT,ROW,COLUMN,CLUSTER,EDGE
PASS,131,0,0,0,0,0
SINGLE_BIT,0,135,0,0,0,0
ROW,0,0,57,0,0,0
COLUMN,0,0,0,55,0,0
CLUSTER,0,0,0,0,34,0
EDGE,0,0,0,0,0,38
